domain,status,source,url,failure_reason
trovaprezzi.it,not_found,,,homepage_unreachable
money.pl,not_found,,,no_privacy_links
di.se,not_found,,,no_privacy_links
telex.hu,not_found,,,no_privacy_links
heute.at,not_found,,,no_privacy_links
ugent.be,skipped,existing_file,,
vanityfair.it,skipped,existing_file,,
muni.cz,not_found,,,no_privacy_links
pracuj.pl,not_found,,,homepage_unreachable
hna.de,not_found,,,no_privacy_links
dandomain.dk,skipped,existing_file,,
origo.hu,not_found,,,no_privacy_links
cnews.fr,not_found,,,homepage_unreachable
bundestag.de,not_found,,,no_privacy_links
uu.se,not_found,,,no_privacy_links
24.hu,skipped,existing_file,,
deutschlandfunk.de,not_found,,,no_privacy_links
bankier.pl,not_found,,,no_privacy_links
hvg.hu,not_found,,,no_privacy_links
videa.hu,not_found,,,homepage_unreachable
aktuality.sk,not_found,,,no_privacy_links
taz.de,not_found,,,no_privacy_links
idealista.pt,not_found,,,homepage_unreachable
uni-koeln.de,not_found,,,no_privacy_links
liu.se,not_found,,,no_privacy_links
gelderlander.nl,skipped,existing_file,,
sportschau.de,not_found,,,no_privacy_links
uni-bonn.de,not_found,,,no_privacy_links
uni-frankfurt.de,not_found,,,no_privacy_links
blesk.cz,not_found,,,no_privacy_links
leroymerlin.es,not_found,,,homepage_unreachable
euro.com.pl,not_found,,,homepage_unreachable
pappers.fr,not_found,,,homepage_unreachable
ziggo.nl,skipped,existing_file,,
portfolio.hu,not_found,,,no_privacy_links
lanouvellerepublique.fr,not_found,,,no_privacy_links
tvspielfilm.de,not_found,,,no_privacy_links
bfv.de,not_found,,,no_privacy_links
lexpress.fr,not_found,,,no_privacy_links
kathimerini.gr,skipped,existing_file,,
nova.cz,not_found,,,homepage_unreachable
hotnews.ro,skipped,existing_file,,
google.lt,skipped,existing_file,,
windguru.cz,skipped,existing_file,,
vinted.de,skipped,existing_file,,
seznamzpravy.cz,not_found,,,no_privacy_links
bergfex.at,not_found,,,homepage_unreachable
tchibo.de,skipped,existing_file,,
hitta.se,skipped,existing_file,,
comdirect.de,not_found,,,no_privacy_links
zalando.fr,not_found,,,homepage_unreachable
svd.se,not_found,,,no_privacy_links
giallozafferano.it,skipped,existing_file,,
zalando.nl,not_found,,,homepage_unreachable
hornbach.de,skipped,existing_file,,
centrum24.pl,skipped,existing_file,,
sudinfo.be,not_found,,,homepage_unreachable
vinted.it,skipped,existing_file,,
esteri.it,skipped,existing_file,,
nordkurier.de,not_found,,,no_privacy_links
adevarul.ro,not_found,,,no_privacy_links
sisal.it,not_found,,,homepage_unreachable
24sata.hr,not_found,,,no_privacy_links
auchan.fr,not_found,,,homepage_unreachable
zalando.it,not_found,,,homepage_unreachable
huffingtonpost.it,skipped,existing_file,,
gala.de,not_found,,,no_privacy_links
digi24.ro,skipped,existing_file,,
but.fr,not_found,,,no_privacy_links
zus.pl,not_found,,,no_privacy_links
15min.lt,skipped,existing_file,,
google.ee,skipped,existing_file,,
just.ro,not_found,,,homepage_unreachable
businessinsider.com.pl,not_found,,,no_privacy_links
eurosport.fr,skipped,existing_file,,
vecernji.hr,not_found,,,no_privacy_links
zalando.pl,not_found,,,homepage_unreachable
telekom.hu,not_found,,,no_privacy_links
zerozero.pt,not_found,,,no_privacy_links
ilmattino.it,skipped,existing_file,,
kth.se,not_found,,,no_privacy_links
rmf24.pl,skipped,existing_file,,
sme.sk,not_found,,,homepage_unreachable
libertatea.ro,skipped,existing_file,,
ilrestodelcarlino.it,skipped,existing_file,,
ors.at,skipped,existing_file,,
vinted.pl,skipped,existing_file,,
surfnet.nl,skipped,existing_file,,
gsp.ro,not_found,,,no_privacy_links
donedeal.ie,not_found,,,homepage_unreachable
destentor.nl,skipped,existing_file,,
lamontagne.fr,not_found,,,homepage_unreachable
zalando.es,not_found,,,homepage_unreachable
rijksoverheid.nl,skipped,existing_file,,
sporza.be,skipped,existing_file,,
filmstarts.de,not_found,,,no_privacy_links
fakt.pl,not_found,,,no_privacy_links
orange.es,skipped,existing_file,,
abv.bg,not_found,,,no_privacy_links
autobild.de,found,homepage_link,https://www.autobild.de/artikel/schluss-mit-grosszuegiger-dienstwagen-policy-28635833.html,
gala.fr,not_found,,,no_privacy_links
lindependant.fr,not_found,,,no_privacy_links
slobodnadalmacija.hr,not_found,,,no_privacy_links
intersport.fr,not_found,,,homepage_unreachable
expresso.pt,not_found,,,no_privacy_links
uni-stuttgart.de,skipped,existing_file,,
portaldasfinancas.gov.pt,not_found,,,no_privacy_links
tcd.ie,skipped,existing_file,,
lifo.gr,skipped,existing_file,,
creditmutuel.fr,not_found,,,no_privacy_links
up.pt,not_found,,,no_privacy_links
net.hr,not_found,,,no_privacy_links
gdatasecurity.de,skipped,existing_file,,
vu.nl,skipped,existing_file,,
flexwebhosting.nl,skipped,existing_file,,
autoscout24.it,skipped,existing_file,,
tvp.pl,not_found,,,no_privacy_links
niedersachsen.de,not_found,,,no_privacy_links
fdj.fr,not_found,,,homepage_unreachable
borsaitaliana.it,skipped,existing_file,,
decathlon.es,not_found,,,homepage_unreachable
stirileprotv.ro,skipped,existing_file,,
fernsehserien.de,not_found,,,no_privacy_links
mailin.fr,not_found,,,no_privacy_links
sch.gr,skipped,existing_file,,
google.si,skipped,existing_file,,
polsatnews.pl,not_found,,,no_privacy_links
sport.de,not_found,,,no_privacy_links
skai.gr,skipped,existing_file,,
record.pt,not_found,,,no_privacy_links
labanquepostale.fr,skipped,existing_file,,
sport.cz,not_found,,,no_privacy_links
hdblog.it,not_found,,,no_privacy_links
naftemporiki.gr,skipped,existing_file,,
ucm.es,skipped,existing_file,,
vinted.es,skipped,existing_file,,
uni-kiel.de,not_found,,,no_privacy_links
tportal.hr,not_found,,,no_privacy_links
deine-tierwelt.de,not_found,,,no_privacy_links
mutua.es,not_found,,,homepage_unreachable
csnet.nl,not_found,,,no_privacy_links
pornpics.de,skipped,existing_file,,
azet.sk,not_found,,,no_privacy_links
gazzetta.gr,not_found,,,no_privacy_links
juris.de,skipped,existing_file,,
immoweb.be,not_found,,,homepage_unreachable
mediafax.ro,not_found,,,no_privacy_links
capital.gr,not_found,,,no_privacy_links
transfermarkt.es,skipped,existing_file,,
cinemagia.ro,skipped,existing_file,,
tpnet.pl,skipped,existing_file,,
ipma.pt,skipped,existing_file,,
car.gr,not_found,,,homepage_unreachable
oikotie.fi,skipped,existing_file,,
topky.sk,not_found,,,no_privacy_links
skole.hr,not_found,,,no_privacy_links
utwente.nl,skipped,existing_file,,
bundesregierung.de,not_found,,,no_privacy_links
nrc.nl,skipped,existing_file,,
casa.it,not_found,,,homepage_unreachable
sdn.cz,not_found,,,homepage_unreachable
profesia.sk,not_found,,,homepage_unreachable
fantacalcio.it,skipped,existing_file,,
super.cz,not_found,,,no_privacy_links
foreca.fi,not_found,,,no_privacy_links
blikk.hu,not_found,,,no_privacy_links
wnp.pl,not_found,,,no_privacy_links
sl.pt,not_found,,,homepage_unreachable
meteociel.fr,not_found,,,no_privacy_links
tu-berlin.de,skipped,existing_file,,
tv3.lt,not_found,,,no_privacy_links
leroymerlin.pl,not_found,,,homepage_unreachable
bazos.cz,skipped,existing_file,,
delfi.lv,not_found,,,no_privacy_links
mixnews.lv,skipped,existing_file,,
stoiximan.gr,not_found,,,homepage_unreachable
leroymerlin.it,not_found,,,homepage_unreachable
portaleargo.it,not_found,,,privacy_links_empty
leggo.it,skipped,existing_file,,
veikkaus.fi,not_found,,,no_privacy_links
porno666.nl,not_found,,,homepage_unreachable
tu-dresden.de,not_found,,,no_privacy_links
hoerzu.de,not_found,,,no_privacy_links
krakow.pl,not_found,,,no_privacy_links
la.lv,skipped,existing_file,,
vg.hu,not_found,,,no_privacy_links
arcor.de,skipped,existing_file,,
hdfilmcehennemi.nl,not_found,,,no_privacy_links
iefimerida.gr,skipped,existing_file,,
iol.pt,not_found,,,no_privacy_links
goldbet.it,not_found,,,homepage_unreachable
sport.pl,not_found,,,no_privacy_links
tue.nl,skipped,existing_file,,
idokep.hu,not_found,,,no_privacy_links
forsal.pl,not_found,,,no_privacy_links
24chasa.bg,skipped,existing_file,,
doz.pl,not_found,,,no_privacy_links
lottomatica.it,not_found,,,homepage_unreachable
zxcs.nl,not_found,,,no_privacy_links
decathlon.it,not_found,,,homepage_unreachable
yadi.sk,skipped,existing_file,,
digisport.ro,skipped,existing_file,,
fotogramas.es,not_found,,,no_privacy_links
ertnews.gr,skipped,existing_file,,
bonprix.de,not_found,,,no_privacy_links
newsit.gr,not_found,,,no_privacy_links
agenciatributaria.gob.es,skipped,existing_file,,
cic.fr,not_found,,,no_privacy_links
mariefrance.fr,not_found,,,no_privacy_links
aade.gr,not_found,,,homepage_unreachable
bricodepot.fr,skipped,existing_file,,
easybell.de,not_found,,,no_privacy_links
skyscanner.es,skipped,existing_file,,
nationalgeographic.com.es,not_found,,,homepage_unreachable
prosport.ro,skipped,existing_file,,
alo.bg,not_found,,,no_privacy_links
ss.lv,skipped,existing_file,,
sport24.gr,skipped,existing_file,,
win2day.at,not_found,,,no_privacy_links
newsbeast.gr,not_found,,,no_privacy_links
leroymerlin.pt,not_found,,,homepage_unreachable
google.com.mt,skipped,existing_file,,
lidl.es,skipped,existing_file,,
flashscore.pl,skipped,existing_file,,
impots.gouv.fr,not_found,,,no_privacy_links
skyscanner.it,skipped,existing_file,,
loteriasyapuestas.es,not_found,,,homepage_unreachable
delfi.ee,not_found,,,no_privacy_links
united-domains.de,skipped,existing_file,,
